att_name,sig_event_number,Timestamp,value
405,6,2019-01-19 04:10:00,0.04
405,6,2019-01-19 04:15:00,0.08
405,6,2019-01-19 04:20:00,0.0
405,6,2019-01-19 04:25:00,0.04
405,6,2019-01-19 04:30:00,0.0
405,6,2019-01-19 04:35:00,0.0
405,6,2019-01-19 04:40:00,0.0
405,6,2019-01-19 04:45:00,0.0
405,6,2019-01-19 04:50:00,0.0
405,6,2019-01-19 04:55:00,0.0
405,6,2019-01-19 05:00:00,0.0
405,6,2019-01-19 05:05:00,0.0
405,6,2019-01-19 05:10:00,0.0
405,6,2019-01-19 05:15:00,0.0
405,6,2019-01-19 05:20:00,0.0
405,6,2019-01-19 05:25:00,0.0
405,6,2019-01-19 05:30:00,0.0
405,6,2019-01-19 05:35:00,0.0
405,6,2019-01-19 05:40:00,0.0
405,6,2019-01-19 05:45:00,0.0
405,6,2019-01-19 05:50:00,0.0
405,6,2019-01-19 05:55:00,0.0
405,6,2019-01-19 06:00:00,0.0
405,6,2019-01-19 06:05:00,0.0
405,7,2019-01-22 23:45:00,0.0
405,7,2019-01-22 23:50:00,0.0
405,7,2019-01-22 23:55:00,0.0
405,7,2019-01-23 00:00:00,0.0
405,7,2019-01-23 00:05:00,0.0
405,7,2019-01-23 00:10:00,0.0
405,7,2019-01-23 00:15:00,0.0
405,7,2019-01-23 00:20:00,0.0
405,7,2019-01-23 00:25:00,0.0
405,7,2019-01-23 00:30:00,0.0
405,7,2019-01-23 00:35:00,0.0
405,7,2019-01-23 00:40:00,0.0
405,7,2019-01-23 00:45:00,0.0
405,7,2019-01-23 00:50:00,0.0
405,7,2019-01-23 00:55:00,0.0
405,7,2019-01-23 01:00:00,0.0
405,7,2019-01-23 01:05:00,0.0
405,7,2019-01-23 01:10:00,0.0
405,7,2019-01-23 01:15:00,0.0
405,7,2019-01-23 01:20:00,0.0
405,7,2019-01-23 01:25:00,0.0
405,7,2019-01-23 01:30:00,0.0
405,7,2019-01-23 01:35:00,0.0
405,7,2019-01-23 01:40:00,0.04
405,7,2019-01-23 01:45:00,0.12
405,7,2019-01-23 01:50:00,0.04
405,7,2019-01-23 01:55:00,0.04
405,7,2019-01-23 02:00:00,0.04
405,7,2019-01-23 02:05:00,0.0
405,7,2019-01-23 02:10:00,0.04
405,7,2019-01-23 02:15:00,0.0
405,7,2019-01-23 02:20:00,0.0
405,7,2019-01-23 02:25:00,0.0
405,7,2019-01-23 02:30:00,0.0
405,7,2019-01-23 02:35:00,0.0
405,7,2019-01-23 02:40:00,0.04
405,7,2019-01-23 02:45:00,0.0
405,7,2019-01-23 02:50:00,0.0
405,7,2019-01-23 02:55:00,0.0
405,7,2019-01-23 03:00:00,0.0
405,7,2019-01-23 03:05:00,0.0
405,7,2019-01-23 03:10:00,0.0
405,7,2019-01-23 03:15:00,0.0
405,7,2019-01-23 03:20:00,0.0
405,7,2019-01-23 03:25:00,0.0
405,7,2019-01-23 03:30:00,0.0
405,7,2019-01-23 03:35:00,0.0
405,7,2019-01-23 03:40:00,0.0
405,7,2019-01-23 03:45:00,0.0
405,8,2019-02-11 20:50:00,0.0
405,8,2019-02-11 20:55:00,0.0
405,8,2019-02-11 21:00:00,0.0
405,8,2019-02-11 21:05:00,0.0
405,8,2019-02-11 21:10:00,0.0
405,8,2019-02-11 21:15:00,0.0
405,8,2019-02-11 21:20:00,0.0
405,8,2019-02-11 21:25:00,0.0
405,8,2019-02-11 21:30:00,0.0
405,8,2019-02-11 21:35:00,0.0
405,8,2019-02-11 21:40:00,0.0
405,8,2019-02-11 21:45:00,0.0
405,8,2019-02-11 21:50:00,0.0
405,8,2019-02-11 21:55:00,0.0
405,8,2019-02-11 22:00:00,0.0
405,8,2019-02-11 22:05:00,0.0
405,8,2019-02-11 22:10:00,0.0
405,8,2019-02-11 22:15:00,0.0
405,8,2019-02-11 22:20:00,0.0
405,8,2019-02-11 22:25:00,0.0
405,8,2019-02-11 22:30:00,0.04
405,8,2019-02-11 22:35:00,0.0
405,8,2019-02-11 22:40:00,0.04
405,8,2019-02-11 22:45:00,0.04
405,8,2019-02-11 22:50:00,0.16
405,8,2019-02-11 22:55:00,0.08
405,8,2019-02-11 23:00:00,0.12
405,8,2019-02-11 23:05:00,0.08
405,8,2019-02-11 23:10:00,0.04
405,8,2019-02-11 23:15:00,0.04
405,8,2019-02-11 23:20:00,0.0
405,8,2019-02-11 23:25:00,0.0
405,8,2019-02-11 23:30:00,0.0
405,8,2019-02-11 23:35:00,0.0
405,8,2019-02-11 23:40:00,0.0
405,8,2019-02-11 23:45:00,0.0
405,8,2019-02-11 23:50:00,0.0
405,8,2019-02-11 23:55:00,0.0
405,8,2019-02-12 00:00:00,0.0
405,8,2019-02-12 00:05:00,0.0
405,8,2019-02-12 00:10:00,0.0
405,8,2019-02-12 00:15:00,0.0
405,8,2019-02-12 00:20:00,0.0
405,8,2019-02-12 00:25:00,0.0
405,8,2019-02-12 00:30:00,0.0
405,8,2019-02-12 00:35:00,0.0
405,8,2019-02-12 00:40:00,0.0
405,8,2019-02-12 00:45:00,0.0
405,8,2019-02-12 00:50:00,0.0
405,8,2019-02-12 00:55:00,0.0
405,8,2019-02-12 01:00:00,0.0
405,9,2019-02-26 17:30:00,0.0
405,9,2019-02-26 17:35:00,0.0
405,9,2019-02-26 17:40:00,0.0
405,9,2019-02-26 17:45:00,0.0
405,9,2019-02-26 17:50:00,0.0
405,9,2019-02-26 17:55:00,0.0
405,9,2019-02-26 18:00:00,0.0
405,9,2019-02-26 18:05:00,0.0
405,9,2019-02-26 18:10:00,0.0
405,9,2019-02-26 18:15:00,0.0
405,9,2019-02-26 18:20:00,0.0
405,9,2019-02-26 18:25:00,0.0
405,9,2019-02-26 18:30:00,0.0
405,9,2019-02-26 18:35:00,0.0
405,9,2019-02-26 18:40:00,0.0
405,9,2019-02-26 18:45:00,0.0
405,9,2019-02-26 18:50:00,0.0
405,9,2019-02-26 18:55:00,0.0
405,9,2019-02-26 19:00:00,0.0
405,9,2019-02-26 19:05:00,0.0
405,9,2019-02-26 19:10:00,0.0
405,9,2019-02-26 19:15:00,0.0
405,9,2019-02-26 19:20:00,0.04
405,9,2019-02-26 19:25:00,0.08
405,9,2019-02-26 19:30:00,0.16
405,9,2019-02-26 19:35:00,0.08
405,9,2019-02-26 19:40:00,0.0
405,9,2019-02-26 19:45:00,0.04
405,9,2019-02-26 19:50:00,0.0
405,9,2019-02-26 19:55:00,0.08
405,9,2019-02-26 20:00:00,0.04
405,9,2019-02-26 20:05:00,0.0
405,9,2019-02-26 20:10:00,0.04
405,9,2019-02-26 20:15:00,0.0
405,9,2019-02-26 20:20:00,0.04
405,9,2019-02-26 20:25:00,0.0
405,9,2019-02-26 20:30:00,0.0
405,9,2019-02-26 20:35:00,0.0
405,9,2019-02-26 20:40:00,0.0
405,9,2019-02-26 20:45:00,0.0
405,9,2019-02-26 20:50:00,0.0
405,9,2019-02-26 20:55:00,0.04
405,9,2019-02-26 21:00:00,0.0
405,9,2019-02-26 21:05:00,0.04
405,9,2019-02-26 21:10:00,0.0
405,9,2019-02-26 21:15:00,0.0
405,9,2019-02-26 21:20:00,0.0
405,9,2019-02-26 21:25:00,0.0
405,9,2019-02-26 21:30:00,0.0
405,9,2019-02-26 21:35:00,0.0
405,9,2019-02-26 21:40:00,0.0
405,9,2019-02-26 21:45:00,0.0
405,9,2019-02-26 21:50:00,0.0
405,9,2019-02-26 21:55:00,0.0
405,9,2019-02-26 22:00:00,0.0
405,9,2019-02-26 22:05:00,0.0
405,9,2019-02-26 22:10:00,0.04
405,9,2019-02-26 22:15:00,0.04
405,9,2019-02-26 22:20:00,0.04
405,9,2019-02-26 22:25:00,0.08
405,9,2019-02-26 22:30:00,0.16
405,9,2019-02-26 22:35:00,0.04
405,9,2019-02-26 22:40:00,0.0
405,9,2019-02-26 22:45:00,0.0
405,9,2019-02-26 22:50:00,0.0
405,9,2019-02-26 22:55:00,0.0
405,9,2019-02-26 23:00:00,0.0
405,9,2019-02-26 23:05:00,0.0
405,9,2019-02-26 23:10:00,0.0
405,9,2019-02-26 23:15:00,0.0
405,9,2019-02-26 23:20:00,0.0
405,9,2019-02-26 23:25:00,0.0
405,9,2019-02-26 23:30:00,0.04
405,9,2019-02-26 23:35:00,0.0
405,9,2019-02-26 23:40:00,0.0
405,9,2019-02-26 23:45:00,0.0
405,9,2019-02-26 23:50:00,0.0
405,9,2019-02-26 23:55:00,0.0
405,9,2019-02-27 00:00:00,0.0
405,9,2019-02-27 00:05:00,0.0
405,9,2019-02-27 00:10:00,0.0
405,9,2019-02-27 00:15:00,0.0
405,9,2019-02-27 00:20:00,0.0
405,9,2019-02-27 00:25:00,0.0
405,9,2019-02-27 00:30:00,0.0
405,10,2019-04-04 00:05:00,0.0
405,10,2019-04-04 00:10:00,0.0
405,10,2019-04-04 00:15:00,0.0
405,10,2019-04-04 00:20:00,0.0
405,10,2019-04-04 00:25:00,0.0
405,10,2019-04-04 00:30:00,0.0
405,10,2019-04-04 00:35:00,0.0
405,10,2019-04-04 00:40:00,0.04
405,10,2019-04-04 00:45:00,0.04
405,10,2019-04-04 00:50:00,0.0
405,10,2019-04-04 00:55:00,0.04
405,10,2019-04-04 01:00:00,0.0
405,10,2019-04-04 01:05:00,0.0
405,10,2019-04-04 01:10:00,0.0
405,10,2019-04-04 01:15:00,0.0
405,10,2019-04-04 01:20:00,0.0
405,10,2019-04-04 01:25:00,0.0
405,10,2019-04-04 01:30:00,0.0
405,10,2019-04-04 01:35:00,0.0
405,10,2019-04-04 01:40:00,0.0
405,10,2019-04-04 01:45:00,0.0
405,10,2019-04-04 01:50:00,0.0
405,10,2019-04-04 01:55:00,0.04
405,10,2019-04-04 02:00:00,0.0
405,10,2019-04-04 02:05:00,0.12
405,10,2019-04-04 02:10:00,0.04
405,10,2019-04-04 02:15:00,0.04
405,10,2019-04-04 02:20:00,0.0
405,10,2019-04-04 02:25:00,0.0
405,10,2019-04-04 02:30:00,0.0
405,10,2019-04-04 02:35:00,0.0
405,10,2019-04-04 02:40:00,0.0
405,10,2019-04-04 02:45:00,0.0
405,10,2019-04-04 02:50:00,0.0
405,10,2019-04-04 02:55:00,0.0
405,10,2019-04-04 03:00:00,0.0
405,10,2019-04-04 03:05:00,0.0
405,10,2019-04-04 03:10:00,0.0
405,10,2019-04-04 03:15:00,0.0
405,10,2019-04-04 03:20:00,0.0
405,10,2019-04-04 03:25:00,0.0
405,10,2019-04-04 03:30:00,0.0
405,10,2019-04-04 03:35:00,0.0
405,10,2019-04-04 03:40:00,0.0
405,10,2019-04-04 03:45:00,0.0
405,10,2019-04-04 03:50:00,0.0
405,10,2019-04-04 03:55:00,0.0
405,10,2019-04-04 04:00:00,0.0
405,10,2019-04-04 04:05:00,0.0
405,11,2019-04-07 10:40:00,0.0
405,11,2019-04-07 10:45:00,0.0
405,11,2019-04-07 10:50:00,0.0
405,11,2019-04-07 10:55:00,0.0
405,11,2019-04-07 11:00:00,0.0
405,11,2019-04-07 11:05:00,0.0
405,11,2019-04-07 11:10:00,0.0
405,11,2019-04-07 11:15:00,0.0
405,11,2019-04-07 11:20:00,0.0
405,11,2019-04-07 11:25:00,0.0
405,11,2019-04-07 11:30:00,0.0
405,11,2019-04-07 11:35:00,0.0
405,11,2019-04-07 11:40:00,0.0
405,11,2019-04-07 11:45:00,0.0
405,11,2019-04-07 11:50:00,0.0
405,11,2019-04-07 11:55:00,0.0
405,11,2019-04-07 12:00:00,0.0
